PluginName;FormID;PerkName;Description;SkillType;SkillLevel
Ordinator - Perks of Skyrim.esp;0601F19D;Heavy Weighs the Tapestry;Activate any humanoid (only) under the effect of a Frenzy spell to incapacitate the target with magical exhaustion for 30 seconds and drain 500 points of Magicka and Stamina. This effect has a 180 second cooldown and can only affect one target at a time.;Illusion;90.000000
Ordinator - Perks of Skyrim.esp;06020204;Protect Your God;When struck by a weapon, may compel a nearby ally affected by Commanding Presence to engage your attacker, dealing 250% extra attack damage for 5 seconds.;Illusion;80.000000
Ordinator - Perks of Skyrim.esp;0601E143;Dream Geas;Activate sleeping victims to send a dream that compels them to fight at your side until released. You can only have one Dream Thrall at a time. Chance to fail and alert the victim, based on Illusion skill.;Illusion;90.000000
Ordinator - Perks of Skyrim.esp;06014900;Conjuration Mastery 1;Cast Conjuration spells for 35% less Magicka, and Conjuration spells last 0.5% longer per level of Conjuration.;Conjuration;0
Ordinator - Perks of Skyrim.esp;06014902;Conjuration Mastery 2;Cast Conjuration spells for 50% less Magicka, and Conjuration spells last 1% longer per level of Conjuration.;Conjuration;20.000000
Skyrim.esm;000153CE;Conjuration Dual Casting;Dual casting a Conjuration spell empowers it, increasing effectiveness and cost.;Conjuration;20.000000
Ordinator - Perks of Skyrim.esp;06015960;Rat King;"When entering combat, creates 3 undead Skeevers under your control. Their corpses can be raised, but they dissipate when combat ends. Use the ""Merciful King"" power to temporarily prevent this ability from activating.";Conjuration;40.000000
Ordinator - Perks of Skyrim.esp;06019A7B;Planemeld;Able to summon Daedra and other non-undead minions five times farther away.;Conjuration;30.000000
Skyrim.esm;00105F30;Signed in Blood;When a friendly conjured Daedra within 15 feet is below full Health, it absorbs your lifeforce to heal itself, preventing you from regenerating Health but regenerating 10 points per second (increased by 4% of its maximum Health when out of combat).;Conjuration;40.000000
Skyrim.esm;000581DE;Ravenous Dead;Reanimated minions receive a brief burst of strength, dealing 200% extra attack damage for 15 seconds after being reanimated. The level cap of reanimation spells and effects is increased by 1% per level of Conjuration.;Conjuration;30.000000
Ordinator - Perks of Skyrim.esp;06072E16;Bone Collector;Find 11 types of bones on humanoid corpses. 4 Bone Altars are marked on the map. At a Bone Altar, convert 1 of each bone into a Skeleton Warrior. Skeletons do not count against your summon limit. Enemies can only temporarily defeat them, not destroy them.;Conjuration;20.000000
Skyrim.esm;000640B3;Mystic Binding;Bound Weapon spells now summon Mystic Weapons which deal more damage.;Conjuration;20.000000
Ordinator - Perks of Skyrim.esp;06073907;Dead Tide;Maximum number of Skeletons increased by 1 for each 75 points of base Magicka.;Conjuration;30.000000
Ordinator - Perks of Skyrim.esp;06077033;Dead Tide;Maximum number of Skeletons increased by 1 for each 50 points of base Magicka.;Conjuration;60.000000
Skyrim.esm;000D799E;Soul Raider;Bound weapons cast Soul Trap on targets for 5 seconds. After trapping 250 souls, all bound weapon perks last twice as long.;Conjuration;30.000000
Ordinator - Perks of Skyrim.esp;0601AAB0;Feed the Monster;Able to feed Human Flesh to summoned or reanimated creatures, healing them and increasing Health, Magicka and Stamina by 200 points for 600 seconds. This effect stacks.;Conjuration;90.000000
Skyrim.esm;000CB419;Atromancy;Summoned Daedra and other non-undead minions last three times as long (or five times at night).;Conjuration;40.000000
Ordinator - Perks of Skyrim.esp;060169D2;Pact Magic;Destruction spells and effects are 10% more effective for each friendly conjured Daedra within 30 feet.;Conjuration;50.000000
Ordinator - Perks of Skyrim.esp;0601595F;Edge of Oblivion;You can summon or reanimate 1 additional minion and they last 50% longer. When you do not command a summon or reanimated minion, you lose 250 points of armor and 50% magic resistance.;Conjuration;50.000000
Skyrim.esm;000581DD;Preservation;Summoned and reanimated undead last three times as long (or twenty times if you place Hagraven Feathers into their inventory or use the Dread Zombie or Dead Thrall spells). Reanimated undead also gain 500 armor for 60 seconds after being reanimated.;Conjuration;40.000000
Ordinator - Perks of Skyrim.esp;06077031;Reap and Sow;You loot 60% more bones from corpses and recover 50% more bones when you destroy a created Skeleton. Created Skeletons last 75% longer.;Conjuration;40.000000
Ordinator - Perks of Skyrim.esp;06077032;Reap and Sow;You loot 100% more bones from corpses and recover all bones when you destroy a created Skeleton. Created Skeletons last 200% longer.;Conjuration;70.000000
Ordinator - Perks of Skyrim.esp;06075FC8;Barrow Lord;You may give commands to all Skeletons within 150 feet at once, instead of one at a time. Skeletons take 25% less damage from attacks.;Conjuration;40.000000
Skyrim.esm;000D799C;Rend From This World;Bound weapons banish conjured Daedra, turn reanimated undead and deal 100 extra damage to non-conjured Daedra.;Conjuration;40.000000
Ordinator - Perks of Skyrim.esp;06017F72;Void Burn;Bound weapons brand victims with unholy energy for 5 seconds, halting Magicka and Stamina regeneration while draining 15 points per second. When both are depleted, the energy starts devouring their flesh, dealing 15 points of magic damage per second.;Conjuration;50.000000
Ordinator - Perks of Skyrim.esp;06019A89;Undead Crown;Restores 10 points of Health and Magicka per second to summoned or reanimated undead within 15 feet.;Conjuration;50.000000
Ordinator - Perks of Skyrim.esp;0602B55D;Maelstrom;While you charge or concentrate on a spell, friendly conjured Daedra within 30 feet gain 30% extra attack damage.;Conjuration;60.000000
Skyrim.esm;000CB41A;Elemental Potency;Atronach conjurations now call Potent Atronachs that are higher level and more powerful.;Conjuration;70.000000
Ordinator - Perks of Skyrim.esp;06016436;A Plague Upon Thee;If a reanimated undead is destroyed within 20 seconds, the attacker is stricken with a Daedric disease that deals 40 damage per second for 20 seconds. Those who have this perk are immune.;Conjuration;60.000000
Ordinator - Perks of Skyrim.esp;06072E1E;Skeleton Mages;Able to create Skeleton Mages (Fire, Frost, Shock) at a Bone Altar.;Conjuration;50.000000
Ordinator - Perks of Skyrim.esp;06076558;Skeleton Mages;Able to create Skeleton Mages (Fire, Frost, Shock, Poison, Drain Armor, Stagger) at a Bone Altar. You may choose their element at the time of creation.;Conjuration;80.000000
Ordinator - Perks of Skyrim.esp;06017F78;Hollow Binding;Bound weapons cut through flesh and spirit, reducing magic resistance by 30% for 5 seconds.;Conjuration;60.000000
Ordinator - Perks of Skyrim.esp;0601644B;Corpse Gas;If your reanimated undead is destroyed while on fire within 30 seconds, it explodes, dealing up to 300 points of fire damage to targets without this perk. You deal five times as much fire damage to your reanimated undead.;Conjuration;70.000000
Ordinator - Perks of Skyrim.esp;0601AABA;Summon Resist;Friendly conjured Daedra and other non-undead minions within 75 feet gain 50% magic resistance and 300 points of armor.;Conjuration;90.000000
Skyrim.esm;00105F31;Unleash Hell;Conjured Daedra within 75 feet gain additional spells on a 30 second cooldown (Flame Atronach: fire explosion. Frost Atronach: reduced armor/magic resistance curse. Storm Atronach: magnetic knockdown. Dremora: increased attack damage and movement speed).;Conjuration;80.000000
Ordinator - Perks of Skyrim.esp;06019A7D;Necromaster;Grants finer control over creatures reanimated with powerful reanimation spells (Dread Zombie, Dead Thrall). Able to manipulate their inventory and equip items (if they are humanoid) and they emit a glow when slain that can be seen through walls. The level cap of those spells is also increased by 100%.;Conjuration;80.000000
Ordinator - Perks of Skyrim.esp;0607703B;Fire Ritual;Able to ritually burn 1 of each bone at a Bone Altar, strengthening all Skeletons within 150 feet. Lasts until the Skeleton is destroyed and increases weapon damage by 15%, spell damage by 30% and Health by 50 points. This effect stacks.;Conjuration;60.000000
Ordinator - Perks of Skyrim.esp;06077024;Conjure Altar;"Grants the ""Conjure Altar"" power. At will, summons a Bone Altar for 60 seconds.";Conjuration;60.000000
Ordinator - Perks of Skyrim.esp;060184EC;Dark Whispers;Bound weapons induce a battle rage in their wielder, granting 20% extra attack damage and 100 points of armor rating for 5 seconds when a target is struck.;Conjuration;70.000000
Ordinator - Perks of Skyrim.esp;06016432;Shocked to Life;If your reanimated minion is struck by a shock spell within 30 seconds after reanimation completes, it attacks 250% faster and moves 50% faster for 10 seconds. You deal no damage to your reanimated minions with shock spells.;Conjuration;90.000000
Skyrim.esm;000D5F1C;March of Oblivion;You can summon or reanimate 1 additional minion per 250 points of base Magicka, up to 3 additional minions.;Conjuration;100.000000
Ordinator - Perks of Skyrim.esp;060775A8;King of Bones;Assume Control of a Skeleton while becoming invulnerable. The Skeleton does quadruple damage and takes half damage. Unless commanded to remain passive, it automatically attacks foes in range. Lasts up to 45 seconds.;Conjuration;100.000000
Ordinator - Perks of Skyrim.esp;060184DE;Brand of the Necromancer;Brand a corpse by striking it with a bound weapon or by delivering the killing blow with a bound weapon attack. The brand grants 25% attack damage and 100 points of Health when reanimated or resurrected. Undead and automatons cannot be branded.;Conjuration;80.000000
Ordinator - Perks of Skyrim.esp;060775A3;Puppet Master;Your created Skeletons take 25% less damage when you are blocking, deal 25% more attack damage when you are attacking, and their spells are 25% more powerful when you are casting a spell.;Conjuration;90.000000
Ordinator - Perks of Skyrim.esp;06018A51;Covenant of Coldharbour;Hollow Binding reduces magic resistance by an additional 30% if you control a summoned Daedra or other non-undead minion.;Conjuration;90.000000
Ordinator - Perks of Skyrim.esp;060148FD;Destruction Mastery;Destruction spells cost 35% less Magicka, and Destruction spells are 0.25% more powerful per level of Destruction.;Destruction;0
Ordinator - Perks of Skyrim.esp;06014903;Destruction Mastery;Destruction spells cost 50% less Magicka, and Destruction spells are 0.5% more powerful per level of Destruction.;Destruction;20
Skyrim.esm;000153CF;Destruction Dual Casting;Dual casting a Destruction spell empowers it, increasing effectiveness and cost.;Destruction;20
Skyrim.esm;000153D2;Harsh Lesson;Destruction projectile spells interrupt targets that are casting a spell. Does not work on massive targets.;Destruction;40
Ordinator - Perks of Skyrim.esp;0602AFF6;War of the Elements;You deal 40% more attack damage to targets that are taking damage from the burning ground created by Conflagration, Scorched Earth or Pyromancer Ascension or are being affected by Electroconvulsions or Hypothermia.;Destruction;70
Ordinator - Perks of Skyrim.esp;060148FC;Force of Nature;Elemental spells and effects cost 30% less Magicka to cast in favorable weather: fire spells in sunlight, frost spells during snowfall, shock spells in the rain.;Destruction;30
Ordinator - Perks of Skyrim.esp;0601BB2E;Robe of the Magi;If wearing robes and no light or heavy armor, Destruction spells are 30% more powerful.;Destruction;50
Ordinator - Perks of Skyrim.esp;0602A515;Elemental Specialization;You may choose one element (fire, frost, shock). Spells and effects of that element are 15% more powerful, while spells and effects of the other two elements are 15% weaker.;Destruction;80
Ordinator - Perks of Skyrim.esp;06024E40;Combustion;Fire spells and effects cast on others are up to 20% more powerful, based on the target's missing Health percentage.;Destruction;20
Ordinator - Perks of Skyrim.esp;06024E41;Combustion;Fire spells and effects cast on others are up to 30% more powerful, based on the target's missing Health percentage.;Destruction;50
Ordinator - Perks of Skyrim.esp;060263ED;Merciless Cold;Frost spells and effects cast on others are up to 20% more powerful, based on the target's missing Stamina percentage.;Destruction;20
Ordinator - Perks of Skyrim.esp;060263EE;Merciless Cold;Frost spells and effects cast on others are up to 30% more powerful, based on the target's missing Stamina percentage.;Destruction;50
Ordinator - Perks of Skyrim.esp;06024E3D;Ionized Path;Shock spells and effects cast on others are up to 20% more powerful, based on the target's missing Magicka percentage.;Destruction;20
Ordinator - Perks of Skyrim.esp;06024E3E;Ionized Path;Shock spells and effects cast on others are up to 30% more powerful, based on the target's missing Magicka percentage.;Destruction;50
Skyrim.esm;000F3933;Frostfall;Frost spells reduce the attack damage of their targets by 25% for 5 seconds.;Destruction;30
Skyrim.esm;000F392E;Scarring Burns;Fire spells reduce the fire resistance of their targets by 20% for 5 seconds.;Destruction;30
Skyrim.esm;000F3F0E;Static Field;Shock spells that would leave their target above 75% Health deal enough additional damage to make up the difference.;Destruction;30
Skyrim.esm;00105F32;Runecaster;Can place runes 75 feet farther away, and place three times as many runes at a time.;Destruction;40
Ordinator - Perks of Skyrim.esp;06025E80;Arc Burn;Shock spells hitting targets that are not fire resistant cause a plasma that deals 5 points of unresistable fire damage per second for 4 seconds.;Destruction;40
Ordinator - Perks of Skyrim.esp;06024E3F;Magnetize;Shock spells have 15% chance to lift the target into the air for 2 seconds, preventing movement.;Destruction;50
Ordinator - Perks of Skyrim.esp;06029A33;Nova Charge;Dual casting 6 shock spells in combat triggers a shock nova that deals 150 points of shock damage to nearby enemies and staggers them. This can only occur once per battle.;Destruction;60
Ordinator - Perks of Skyrim.esp;06029A1B;Crystalize;Frost spells freeze the blood of their targets, halting Stamina regeneration for 5 seconds. If the targets are not resistant to frost, frost spells also reduce armor by 125 points for 5 seconds.;Destruction;40
Ordinator - Perks of Skyrim.esp;060263F0;Shatter;Frost spells that hit a frost resistant target fragment and explode in a 15 foot area, reducing frost resistance by 25% for 10 seconds. This effect stacks.;Destruction;50
Ordinator - Perks of Skyrim.esp;060148F0;Iced Earth;Dual casting frost spells freezes the earth under your feet. The frozen ground deals 40 points of damage per second to Health and Stamina for 4 seconds on contact. Frost spells and effects are 50% more powerful against affected targets.;Destruction;60
Ordinator - Perks of Skyrim.esp;06027F04;Conflagration;Fire spells ignite the ground underneath their targets for 30 seconds. The burning ground deals 8 points of damage per second for 3 seconds on contact.;Destruction;40
Ordinator - Perks of Skyrim.esp;0602799C;Pyromancer Ascension;Dual casting 6 fire spells in combat unleashes your power for 20 seconds: fire spells and effects are 50% more powerful and cost half Magicka, and you leave burning ground in your wake that deals 30 damage per second. This can only occur once per battle.;Destruction;60
Ordinator - Perks of Skyrim.esp;060148FA;Flash Fire;Fire spells have 15% chance to ignite the target for 2 seconds. The next instance of fire damage that hits an ignited target (except burning ground) detonates, dealing 100% more damage and causing a living target to flee the flames for 4 seconds.;Destruction;50
Ordinator - Perks of Skyrim.esp;06029F97;Ancient Seals;Destruction runes no longer deal instant damage, but inflict a stacking 10 second elemental burn that deals 15% damage per second.;Destruction;70
Ordinator - Perks of Skyrim.esp;06025915;Electroconvulsions;Shock spells incapacitate living targets below 25% Health if they are not shock resistant.;Destruction;70
Ordinator - Perks of Skyrim.esp;060263F6;Hypothermia;Frost spells paralyze living targets below 25% Health if they are not frost resistant.;Destruction;70
Ordinator - Perks of Skyrim.esp;06025E86;Scorched Earth;Fire spells (except concentration spells) burn corpses to cinders, creating a pyre that burns for 30 seconds. The burning ground deals 50 points of damage per second for 5 seconds on contact.;Destruction;70
Ordinator - Perks of Skyrim.esp;06027F02;World in Flames;The burning ground created by Conflagration, Scorched Earth and Pyromancer Ascension deals 25% more damage. Additionally, other fire spells and effects are 25% more powerful against targets affected by burning ground.;Destruction;80
Ordinator - Perks of Skyrim.esp;06028472;Outburst;When you fall below 75 points of Health, the fiery energy within you explodes and ignites nearby enemies, dealing 30 points of fire damage per second for 4 seconds and applying fire spell perks. This effect has a 180 second cooldown.;Destruction;90
Ordinator - Perks of Skyrim.esp;0602846E;Cataclysm;Fire spells that hit targets affected by burning ground explode for 20% of their current Health (max. 250 damage), blasting them into the air and reducing magic resistance by 25% for 6 seconds. This effect has a 45 second cooldown.;Destruction;100
Ordinator - Perks of Skyrim.esp;06024E3C;Winter's Majesty;You radiate freezing cold, reducing the frost resistance of enemies within 25 feet by 50%. This penalty is applied on top of Shatter.;Destruction;90
Ordinator - Perks of Skyrim.esp;060263FC;Exhaust;Frost spells and effects drain 50% more Stamina.;Destruction;80
Ordinator - Perks of Skyrim.esp;06029F96;Show Them All;Shock spells and effects drain 50% more Magicka.;Destruction;80
Ordinator - Perks of Skyrim.esp;06025E82;Stormblast;You accumulate static energy from the ambient air. Every 6-12 seconds in combat, your next shock spell triggers a ground discharge that radiates outward from the target. All enemies in the area take 60 points of shock damage to Health and Magicka.;Destruction;90
Ordinator - Perks of Skyrim.esp;0602AA92;Absolute Power;Aiming a Sparks, Lightning Bolt, Chain Lightning, Thunderbolt or Lightning Storm spell directly at a target will magnetically levitate them in front of you for 6 seconds, reducing magic resistance by 25%. This effect has a 45 second cooldown.;Destruction;100
Ordinator - Perks of Skyrim.esp;0602A503;Glacial Prison;Frost spells immobilize (non-essential) targets in a block of ice for 6 seconds, reducing magic resistance by 25%. This effect has a 120 second cooldown, but killing a victim affected by Glacial Prison or Hypothermia immediately ends the cooldown.;Destruction;100
Ordinator - Perks of Skyrim.esp;06014357;Restoration Mastery;Cast Restoration spells for 35% less Magicka, and Restoration spells are 0.25% more powerful per level of Restoration.;Restoration;0
Ordinator - Perks of Skyrim.esp;06014358;Restoration Mastery;Cast Restoration spells for 50% less Magicka, and Restoration spells are 0.5% more powerful per level of Restoration.;Restoration;20
Ordinator - Perks of Skyrim.esp;060153F4;Tome of Many Pages;Teaches 18 different Restoration spells. Each fortifies a single skill by 15 levels for 120 seconds.;Restoration;90
Skyrim.esm;000153D1;Restoration Dual Casting;Dual casting a Restoration spell empowers it, increasing effectiveness and cost.;Restoration;20
Skyrim.esm;000581F8;Edgewalker;Restoration spells are up to 30% more powerful if the recipient is below half Health. The bonus increases as Health decreases.;Restoration;30
Ordinator - Perks of Skyrim.esp;060153FC;Chalice of Tears;If you are diseased or undead, your Restoration spells are 15% stronger and last 50% longer.;Restoration;70
Ordinator - Perks of Skyrim.esp;060B284F;Necromanticon;"Study the arts of disease, learning the ""Putrefy"" spell. When your Restoration skill reaches 50, you learn ""Death Cloud"". When your Restoration skill reaches 75, you learn ""Carrion Wind"". These spells deal disease damage to nonmechanical targets.";Restoration;40
Skyrim.esm;000581F9;Respite;Healing spells also restore Stamina equal to their power.;Restoration;40
Ordinator - Perks of Skyrim.esp;0601435F;Descending Light;When you enter combat, rapidly regenerate points of Magicka equal to half of your Restoration skill level per second. This effect gradually diminishes over the course of 15 seconds. The regeneration does not stop while casting.;Restoration;20
Ordinator - Perks of Skyrim.esp;060153E2;Vigilant;The first ward you cast in combat costs no Magicka to maintain.;Restoration;30
Ordinator - Perks of Skyrim.esp;06014367;Spirit Tutors;Two spirit tutors roam Skyrim. Find them and speak with them to receive a permanent blessing that makes Restoration spells 1% stronger per 20 points of Magicka. Each spirit tutor grants one blessing.;Restoration;30
Ordinator - Perks of Skyrim.esp;0602D08B;Hallowed Burial;Your attacks and Restoration spells and effects are 20% more powerful against undead enemies.;Restoration;30
Ordinator - Perks of Skyrim.esp;0602D091;Hallowed Burial;Your attacks and Restoration spells and effects are 30% more powerful against undead enemies.;Restoration;60
Ordinator - Perks of Skyrim.esp;06014911;Sacred Guardian;Emanate a 20 foot aura of protection. Any living allies within range who fall below 30% Health are automatically healed 150 points. This effect has a 30 second cooldown per target.;Restoration;80
Ordinator - Perks of Skyrim.esp;0601490D;False Light;While in combat, you may cast targeted healing spells and effects on enemies to inflict damage equal to 75% of the heal amount.;Restoration;40
Ordinator - Perks of Skyrim.esp;060153E6;Antimagic Field;Staying within 8 feet of an enemy while maintaining a ward prevents them from casting spells. No effect on massive targets.;Restoration;50
Ordinator - Perks of Skyrim.esp;06014362;Warrior's Flame;In combat, the Warrior's Flame periodically touches a random target within 100 feet (including you). Friendly targets are blessed, restoring 20 points of Magicka and Stamina for 5 seconds. Hostile targets are cursed, draining the same amount instead.;Restoration;50
Ordinator - Perks of Skyrim.esp;0602D633;Exorcist;"Study the arts of destroying the undead, learning the ""Sunblast"" spell. When your Restoration skill reaches 50, you learn ""Holy Hands"". When your Restoration skill reaches 75, you learn ""Stellar Core"". These spells deal damage to the undead.";Restoration;40
Ordinator - Perks of Skyrim.esp;060153EA;Overflowing Cup;Receiving a healing spell or effect when you are already at full Health overheals you, fortifying Health by 1 point per level of Restoration for 20 seconds.;Restoration;50
Skyrim.esm;00068BCC;Forbidden Sanctuary;When your ward blocks a spell, you gain Magicka equal to 25% of that spell's cost (or 100% if you are blessed by Warrior's Flame).;Restoration;60
Ordinator - Perks of Skyrim.esp;060B2846;Pilgrim;Shrine blessings you receive are 1% stronger per level of Restoration.;Restoration;50
Ordinator - Perks of Skyrim.esp;0601437F;Wheel of Life;In combat, gradually accumulates ambient lifeforce from the environment and releases it in periodic bursts, healing you 100 points every 30 seconds. Becoming affected by a different healing spell or effect restarts the cycle from the beginning.;Restoration;70
Ordinator - Perks of Skyrim.esp;0602D086;Ashes to Ashes;Your Warrior's Flame carries the essence of death. Hostile undead cursed by Warrior's Flame take 30 points of damage per second.;Restoration;60
Ordinator - Perks of Skyrim.esp;0601437D;Sacred Flame;Your Warrior's Flame carries the essence of life. Living allies blessed by Warrior's Flame are healed 20 points per second.;Restoration;60
Ordinator - Perks of Skyrim.esp;060B2851;Lightwielder;Increases False Light damage by 10% and allows the perks Sacred Guardian and Under my Wings to hit and damage enemies.;Restoration;60
Ordinator - Perks of Skyrim.esp;06014E7C;Bastion Ward;Wards reduce incoming attack damage by 40% (or 20% for wards generated by Spellbreaker and Mage Ward).;Restoration;70
Ordinator - Perks of Skyrim.esp;0601437B;Crusader's Fire;In combat, targets within 30 feet affected by a Turn Undead spell or effect burn with divine fire, taking 10 points of damage per second for 10 seconds. Your attacks and critical strikes deal 25% more damage to targets affected by Crusader's Fire.;Restoration;60
Ordinator - Perks of Skyrim.esp;060153EF;Under my Wings;Dual casting a healing spell on yourself also casts it on nearby nonmechanical allies within 20 feet. Does not apply to concentration spells.;Restoration;70
Ordinator - Perks of Skyrim.esp;06014906;Battle Cleric;When Warrior's Flame blesses or curses a target, it also increases or reduces armor by 200 points and magic resistance by 25% for its duration.;Restoration;80
Ordinator - Perks of Skyrim.esp;060B2852;In Thy Name;Increases False Light damage by 15% when you are affected by a shrine blessing.;Restoration;80
Ordinator - Perks of Skyrim.esp;06014E7A;Mage Ward;Casting a spell also raises a ward that increases armor rating by 100 and negates up to 100 points of spell damage and effects.;Restoration;80
Ordinator - Perks of Skyrim.esp;0602D09E;Eternal Flame;Warrior's Flame lasts twice as long.;Restoration;90
Ordinator - Perks of Skyrim.esp;06014907;Apotheosis;"Grants the ""Apotheosis"" power. Once a day, casts Warrior's Flame on all nearby for 20 seconds. Costs 250 Magicka.";Restoration;100
Ordinator - Perks of Skyrim.esp;06014912;Enduring Ideal;Wheel of Life heals 25% more and each new cycle is 5 seconds faster than the last.;Restoration;90
Ordinator - Perks of Skyrim.esp;060153F5;Gods and Mortals;Shrine blessings last 50% longer, and the blessings of the Divines (Akatosh, Arkay, Dibella, Julianos, Kynareth, Mara, Stendarr, Talos, Zenithar) confer powerful additional effects.;Restoration;90
Ordinator - Perks of Skyrim.esp;060148FF;Alteration Mastery;Cast Alteration spells for 35% less Magicka, and Alteration spells last 0.5% longer per level of Alteration.;Alteration;0
